PhraseId	SentenceId	Phrase	Sentiment
140784	7637	receive it	2
39748	1898	best describes this film : honest	3
75225	3859	spreading a Puritanical brand of Christianity to South Seas islanders	2
150201	8181	to leave a lasting impression	2
134635	7265	it all or	2
149156	8116	my World War II memories	2
55663	2783	Koepp 's screenplay	2
151527	8265	has taken quite a nosedive from Alfred Hitchcock 's imaginative flight to Shyamalan 's self-important summer fluff	0
100285	5262	makes clear that a prostitute can be as lonely and needy as any of the clients	2
101682	5353	just enough sweet and traditional romantic comedy to counter the crudity	3
60014	3028	two young women	2
74785	3833	enjoy for a lifetime	3
128861	6931	own idiosyncratic way	3
149511	8138	Shafer and co-writer Gregory Hinton	2
53386	2648	mature and frank	2
7133	289	the page-turning frenzy	2
6568	261	bites	2
145098	7882	nervous energy , moral ambiguity and great uncertainties	2
22427	1012	a tired Tyco ad	1
105228	5556	deserves to emerge from the traffic jam of holiday movies	3
137915	7462	is an act of spiritual faith -- an eloquent , deeply felt meditation on the nature of compassion	3
145104	7882	great uncertainties	2
51565	2541	A sensitive and astute first feature by Anne-Sophie Birot .	3
93275	4864	astonishingly pivotal role	3
87761	4556	spark to the most crucial lip-reading sequence	2
90658	4718	to Americans	2
102738	5413	Mr. Deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought .	3
129806	6986	aground	1
116692	6222	his stuff	2
122361	6559	Collapses under its own meager weight .	1
84611	4377	having a hard time believing people were paid to make it	0
152636	8330	With an unusual protagonist -LRB- a kilt-wearing Jackson -RRB- and subject matter , the improbable `` Formula 51 '' is somewhat entertaining	3
145167	7887	the-loose banter of Welcome to Collinwood	2
110828	5872	Hitler-study	2
105309	5560	Frankly , it 's pretty stupid .	1
85009	4395	whip-smart sense	2
104181	5495	the unfulfilling ,	2
37629	1788	frustrating than a modem that disconnects every 10 seconds	0
114780	6109	most viewers will wish there had been more of the `` Queen '' and less of the `` Damned . ''	1
102305	5384	this fascinating -- and timely -- content comes wrapped	3
15582	668	A Few Good Men told us that we `` ca n't handle the truth '' than High Crimes	2
22998	1041	A sub-formulaic slap in the face	1
120349	6434	so much farcical as sour .	1
26043	1191	classical familiarity	3
59853	3019	is the kind of movie that 's critic-proof , simply because it aims so low	0
100414	5268	a vibrant and intoxicating fashion	4
74715	3830	something meaningful about facing death	2
104519	5516	a modern motion picture	3
115356	6145	51 times	2
45956	2235	big bowl	2
50148	2463	grows boring despite the scenery .	1
94393	4926	tendency to sag in certain places	2
89552	4656	us nothing new	1
27579	1267	story opportunities	2
42086	2026	the world of lingerie models and bar dancers	2
29201	1351	passive-aggressive psychology	3
153906	8409	speak about other than the fact	2
78857	4058	the action sequences	2
74398	3812	tasteless and	1
7914	322	the idea of narrative logic or cohesion is an entirely foreign concept	1
125220	6728	does n't tell you anything except that the Chelsea Hotel today is populated by whiny , pathetic , starving and untalented artistes	0
90549	4714	A low-budget affair , Tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction	1
25080	1146	comedies I	2
51618	2544	intricate	2
10121	425	smacks of exhibitionism	1
5966	239	is one of world cinema 's most wondrously gifted artists and storytellers .	4
13225	569	is why Anthony Hopkins is in it	2
92656	4827	is a must	4
93225	4861	What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice .	3
23561	1067	any way of gripping what its point is	1
149503	8137	never lacks in eye-popping visuals	3
127155	6838	co-writer Jim Taylor	2
92156	4795	either the nature of women	2
95720	5000	It 's as sorry a mess as its director 's diabolical debut , Mad Cows .	0
32593	1528	become comic relief	2
100259	5260	sustains interest during the long build-up of expository material .	3
48969	2390	can only	2
137454	7437	a fantastic movie	4
81939	4228	apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .	3
270	10	same	2
57943	2920	who complain that ` they do n't make movies like they used to anymore	2
77819	4002	build in the mind of the viewer and	2
43495	2102	episodic pacing	3
110427	5849	too good	3
145375	7899	the fate	2
60765	3069	The Chateau has one very funny joke and a few other decent ones ,	3
44343	2149	Clancy 's	2
46929	2286	reduce everything he	2
122514	6570	a handful of quirks	2
9599	400	Despite its flaws	2
114144	6068	is all menace and atmosphere .	2
14572	628	never clearly defines his characters or gives us a reason to care about them	2
152233	8306	other than its one good idea -RRB-	2
63650	3222	a very tasteful rock	2
147174	8008	There 's a little violence and lots of sex in a bid to hold our attention	2
57441	2897	beginning to end	2
40187	1926	's not hateful .	2
60267	3043	either funny or scary	2
108217	5725	mention absolutely refreshed	2
53363	2647	it 's still damn funny stuff	3
155086	8488	the fizz	2
112978	5999	the grandeur	3
154745	8465	For those of us who respond more strongly to storytelling than computer-generated effects	2
38145	1813	to enter and accept another world	3
78994	4064	lacks visual flair .	1
72102	3682	's plenty to impress about E.T.	3
91616	4766	little green men	2
94428	4929	may or may not have shot Kennedy	2
148388	8074	through a sad , sordid universe of guns , drugs , avarice and damaged dreams	1
65853	3340	Symbolically	2
14092	606	rooted in that decade	2
28552	1319	agent Jack Ryan	2
123927	6654	on crummy-looking videotape	1
95163	4964	This is NOT a retread of `` Dead Poets ' Society . ''	2
104403	5508	predictable romantic comedy	1
97088	5075	look bad	1
126166	6780	, gut-clutching piece	3
12903	554	Parts	2
31965	1496	Hal Hartley to function	2
47681	2323	her dreams	2
51912	2562	While Hollywood Ending has its share of belly laughs -LRB- including a knockout of a closing line -RRB-	3
55870	2793	word-of-mouth	2
87401	4533	directed this movie so much as produced it -- like sausage	1
25590	1169	DeNiro	2
145517	7910	unblinking frankness	2
84309	4356	loads of CGI and bushels of violence	1
69250	3519	jokers	2
97697	5114	yourself remembering this refreshing visit to a Sunshine State	3
90354	4702	or edit ,	2
10156	426	some special qualities and the soulful gravity of Crudup 's anchoring performance	3
47148	2298	sharp slivers and	2
13844	596	to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs	2
134347	7248	knows how to inflate the mundane into the scarifying , and	2
109457	5797	, it is twice as bestial but half as funny .	1
31483	1473	set it	2
24110	1096	alternately raucous and sappy	2
474	18	Like a less dizzily gorgeous companion to Mr. Wong 's In the Mood for Love -- very much a Hong Kong movie despite its mainland setting .	2
134738	7272	the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience	3
133285	7192	all of its insights into the dream world of teen life , and its electronic expression through cyber culture	2
102058	5372	filmmaker Karim Dridi	2
59874	3021	A delightful entree in the tradition of food movies .	4
37934	1804	need not apply	1
103757	5470	that was written down	1
150235	8183	from Snatch	2
49532	2425	Neatly constructed thriller	3
119345	6380	can not be revived .	1
144322	7835	superb performers	4
143828	7806	shockingly devoid of your typical Majid Majidi shoe-loving , crippled children	2
93080	4850	the filmmakers found this a remarkable and novel concept	3
27968	1283	of belly dancing	2
31655	1483	turn this fairly parochial melodrama into something really rather special	3
33645	1578	was better than Saving Private Ryan	3
609	22	exists apart	2
135334	7308	compelling argument	2
130182	7010	is a few bits funnier than Malle 's dud , if only because the cast is so engagingly messing around like Slob City reductions of Damon Runyon crooks .	2
80627	4152	A life-size reenactment of those Jack Chick cartoon tracts that always ended with some hippie getting	2
152906	8346	suffer the dreadfulness of war	2
134925	7282	misanthropic comedies	1
119608	6394	is clearly a good thing	3
34313	1611	that still leaves shockwaves	2
77409	3982	127 years	2
18097	789	some of its repartee	2
9350	390	town	3
96944	5067	no problem giving it an unqualified recommendation	2
86777	4495	suitcase	2
144480	7844	takes us	2
93630	4882	which should appeal to women	3
54448	2706	anything else slight ... Tadpole pulls back from the consequences of its own actions and revelations	2
81469	4201	's crafty , energetic and smart	4
31509	1474	with a white-empowered police force	1
138905	7529	one arresting image to another	2
120225	6429	to a love story risks trivializing it , though Chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror .	3
31135	1453	that 's surprisingly short of both adventure and song	1
40174	1925	fairly judge a film like RINGU when you 've seen the remake first	2
19848	876	the saccharine	2
128992	6937	works beautifully as a movie without sacrificing the integrity of the opera .	3
153546	8385	a hoot in a bad-movie way	1
140381	7618	has the odd distinction of being playful without being fun	1
39478	1885	bratty	1
140937	7643	the interviews that follow , with the practitioners of this ancient Indian practice ,	2
3359	126	's still a sweet , even delectable diversion	4
72791	3717	-- and deeply appealing --	4
65582	3323	a huge disappointment coming , as it does	1
120345	6433	it might deliver again and again	3
88006	4572	by Neil Finn and Edmund	2
8066	332	band performances	2
64935	3287	suddenly pulls the rug out from under you	3
101774	5357	horrible pains	0
45363	2205	airy cinematic bon bons	3
106297	5612	's denial of sincere grief and mourning in favor of bogus spiritualism	1
143347	7781	Hubert with a mixture of deadpan cool , wry humor and just the measure	3
8896	371	Translation : ` We do n't need to try very hard	1
83551	4319	genial is the conceit , this is one of those rare pictures that you root for throughout	4
28009	1286	chefs	2
15500	664	a striking style behind the camera	3
96758	5053	soiree	2
41066	1968	to justify the build-up	2
106718	5635	national health insurance	2
73437	3753	that embraces its old-fashioned themes and	3
7104	287	A -RRB-	2
6881	275	auteur 's	2
63599	3219	striking , quietly vulnerable personality	3
33169	1554	humor and heart	3
92764	4831	her old life	2
91131	4741	your kids	3
91885	4781	Morgan Freeman	2
55215	2752	Lock , Stock and Two Smoking Barrels	2
49472	2421	stunt doubles and special effects	2
144095	7820	uniquely itself	3
30975	1443	is n't merely offensive	1
7431	302	a Boy	2
90067	4687	without the jokes	2
70116	3570	to Diesel 's XXX flex-a-thon	3
29345	1359	these distortions	2
120814	6465	This is n't a movie ; it 's a symptom .	1
13794	595	lyrical	2
104398	5508	make a great team	3
107178	5664	Its story about a young Chinese woman , Ah Na , who has come to New York City to replace past tragedy with the American Dream	3
56548	2840	all its plot twists , and some of them verge on the bizarre as the film winds down	2
71922	3672	to have recharged him	2
4218	160	uncluttered	3
108703	5754	the reason to go	2
83550	4319	genial is the conceit , this is one of those rare pictures that you root for throughout ,	3
41508	1998	Deadly dull , pointless meditation on losers in a gone-to-seed hotel .	1
49226	2407	of technical skill and rare depth	4
34857	1640	it remains brightly optimistic , coming through in the end	3
48688	2377	only one way	2
38857	1854	overcome his personal obstacles	2
10524	444	of disconnection	1
97867	5124	Feeble comedy	1
108044	5716	another new film emerges with yet another remarkable yet shockingly little-known perspective .	3
86571	4483	low-rent --	1
106675	5634	honest working man John Q. Archibald	2
61033	3084	famous prima donna Floria Tosca	2
55421	2766	old-hat set-up	2
142939	7759	to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years	1
43339	2094	through it all	2
23484	1064	older crowd	2
53625	2661	girls-behaving-badly	2
12106	518	gutless	1
64315	3255	that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half	4
39454	1884	Die Hard and Cliffhanger	2
87535	4542	lumpish cipher	2
142140	7711	the cleverness , the weirdness	2
144106	7821	Demi	2
3063	114	rouses us	3
118663	6342	A close-to-solid espionage thriller	3
122205	6552	The entire film	2
36265	1714	Give Shapiro , Goldman ,	2
47422	2311	shout , ` Hey , Kool-Aid	2
125536	6745	leading lady	2
129068	6941	this increasingly pervasive aspect of gay culture	2
62663	3170	us intriguing glimpses of the insights gleaned from a lifetime of spiritual inquiry	3
40068	1919	, this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film The Sum of All Fears , starring Ben Affleck , seem downright Hitchcockian .	0
149284	8123	were worried	1
83909	4336	, Family Fundamentals is an earnest study in despair .	2
152036	8296	In a big corner office in Hell	1
152353	8313	a McCulloch production	2
28324	1307	Throws in enough clever and unexpected twists to make the formula feel fresh .	4
110719	5866	this poor remake	1
18553	814	the 1790 's	2
111365	5906	, alone , should scare any sane person away .	1
98726	5177	more puzzling than unsettling	2
50741	2496	director Robert J. Siegel	2
90000	4683	reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of Castro so predominantly charitable it can only be seen as propaganda .	1
84147	4347	is that rare animal known as ' a perfect family film ,	4
29508	1367	wannabe	1
18882	828	our reality tv obsession , and even	1
128903	6932	blank-faced optimism	2
85825	4441	a film that comes along every day .	1
27879	1280	the dramatic potential	2
132343	7136	dull , dumb and derivative horror	0
136812	7400	half-lit , sometimes creepy intimacy	1
152220	8305	's not good with people .	2
5678	225	staring at a blank screen	1
101461	5335	next to his best work , feels clumsy and convoluted	0
108387	5736	so convinced of its own brilliance	2
150433	8195	mediocre screenplay	1
97316	5088	heart-felt drama	3
70225	3576	begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents	0
45189	2195	a low , smoky and inviting sizzle	3
143551	7791	if indeed there is one	2
13986	602	fill an almost feature-length film	2
45304	2203	it far above	3
55065	2744	and , perhaps paradoxically , illuminated	1
17580	761	free rein	2
23941	1087	finds a consistent tone and	3
30499	1416	scary horror movie	3
91998	4787	the laws of physics and	2
3610	135	Daughter From Danang reveals that efforts toward closure only open new wounds .	1
136481	7379	the theater seat	2
95880	5009	the most oddly honest Hollywood document	3
101063	5309	closed it down	2
92157	4795	either the nature	2
103714	5469	's a pretty woman	3
134054	7235	conventional arrangements	2
141274	7663	Black Hawk Down and We Were Soldiers	3
77049	3963	fetishistic	2
93341	4868	a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about	1
77859	4003	make it well worth watching	3
139086	7539	about in ` The Ring	2
24441	1111	Charles Stone III	2
96854	5062	gives a performance that is masterly .	4
127164	6838	to look American angst in the eye and end up laughing	3
23147	1049	A handsome but unfulfilling suspense drama more suited to a quiet evening on PBS than a night out at an AMC .	1
57501	2900	as if her life did , too	2
54042	2685	their personalities undergo radical changes when it suits the script	1
73180	3738	Director Nancy Savoca 's no-frills record of a show forged in still-raw emotions	3
46304	2252	zeal to spread propaganda	1
131681	7097	tells us in his narration that ` this is a story without surprises	2
94328	4923	the 1959 Godzilla	2
152156	8301	's far too tragic to merit such superficial treatment	2
76805	3949	very compelling , sensitive ,	4
135921	7342	the lovely Hush	2
34365	1613	Topics that could make a sailor	2
83164	4293	the saccharine sentimentality of Bicentennial Man	1
71488	3646	infomercial for Universal Studios and its ancillary products . .	2
70315	3583	cheapen the overall effect .	1
152790	8338	should be credited with remembering his victims .	2
102702	5410	crossing-over mumbo jumbo ,	2
106554	5626	odd , rapt spell	1
64707	3276	a menace	1
55455	2768	It wo n't harm anyone , but neither can I think of a very good reason to rush right out and see it	1
53141	2636	her place	2
74162	3798	create enough interest to make up for an unfocused screenplay	2
81451	4199	is actually quite entertaining	4
90701	4721	little emotional resonance	1
121096	6485	avalanches	2
144549	7847	truck-loving good ol' boys	2
116548	6215	Schneider 's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story 's continuity and progression .	2
25540	1167	him shooting blanks	2
122631	6578	the groove of a New York	2
61919	3131	older viewers	2
87517	4540	virtuoso throat-singing	3
62032	3136	the movie 's release	2
85233	4407	, it 's better than one might expect when you look at the list of movies starring Ice-T in a major role .	3
64486	3264	feels like the logical , unforced continuation of the careers of a pair of spy kids	3
10028	421	Washington	2
62043	3137	it may leave you feeling a little sticky and unsatisfied	1
59746	3012	the direction is clumsy	1
76508	3932	with color , music and life	2
133977	7229	seen speaking on stage	2
104761	5532	its country conclusion '	2
122134	6545	of expectations	2
98204	5146	Ritchie may not have a novel thought in his head	1
131829	7106	Memories of Rollerball have faded	2
62492	3161	self-important stories	2
28525	1319	The star who helped give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , `` The Sum of All Fears .	2
147051	8003	be too busy	2
108520	5743	Disney movie	2
49099	2398	old-school	2
123987	6656	so grainy and rough , so	3
95870	5009	most American	2
25072	1146	One of the most plain , unimaginative romantic comedies I	0
52868	2620	direction and especially charm	3
133006	7174	anticipated family reunion	2
56285	2822	stylish but steady , and ultimately very satisfying , piece	3
120096	6423	superb performances	4
53748	2668	interaction	2
32624	1529	spouting	2
98555	5165	, the movie passes inspection	3
55051	2743	Where 's the movie here ?	0
87264	4525	of his own preoccupations and obsessions	2
143324	7780	Jones helps breathe some life into the insubstantial plot , but	3
130042	7003	it makes up for in heart .	3
47246	2302	of work and 2002 's first great film	3
19297	847	has done in the United States	2
124947	6715	into a story about two adolescent boys	2
12308	526	a little too much resonance	2
93677	4885	A smug and convoluted action-comedy that does n't allow an earnest moment to pass without reminding audiences that it 's only a movie .	0
64448	3263	Maik , the firebrand turned savvy ad man , would be envious of	3
68106	3456	simple manner	2
59703	3011	Confessions may not be a straightforward bio , nor does it offer much in the way of Barris ' motivations	2
87250	4525	Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions ,	2
145319	7896	'd never	2
73826	3777	sure mainstream audiences will be baffled	1
48995	2391	Sometimes makes less sense than the Bruckheimeresque American action flicks it emulates .	1
18130	791	a trove	3
116760	6226	kindred	2
65589	3323	filmmakers and performers of this calibre	3
109621	5807	gross out the audience	1
80848	4166	films to date .	2
75437	3868	firmly director John Stainton has his tongue in his cheek	2
43305	2092	this year 's very best pictures	4
79236	4081	It 's not helpful to listen to extremist name-calling , regardless of whether you think Kissinger was a calculating fiend or just a slippery self-promoter .	1
32156	1506	und drung , but explains its characters ' decisions only unsatisfactorily	1
64564	3267	, fiery passion	3
86866	4501	is an interesting movie ! ''	3
82325	4250	Like these Russo guys lookin ' for their Mamet instead found their Sturges .	2
150833	8221	spanning history , rather than suspending it	2
85898	4445	many sessions	2
103685	5468	be dismissed as mindless	1
108267	5728	do n't go out of your way to pay full price	1
72895	3722	his own infinite insecurity is a work of outstanding originality	4
65764	3334	Foreman 's barking-mad Taylor to Thewlis 's smoothly sinister Freddie and Bettany\/McDowell 's hard-eyed gangster	3
98357	5155	Bears ... should keep parents amused with its low groan-to-guffaw ratio	3
97982	5132	boredom	0
72129	3684	about this traditional thriller	2
31858	1492	primarily	2
34182	1606	afloat	2
117508	6271	even more reassuring is how its makers actually seem to understand what made Allen 's romantic comedies so pertinent and enduring	3
38663	1843	a nifty plot line in Steven Soderbergh 's Traffic	3
112612	5980	... is a man who uses the damage of war -- far more often than the warfare itself -- to create the kind of art shots that fill gallery shows	3
11911	511	disappointing	0
155782	8527	there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .	0
92795	4833	civil disobedience , anti-war movements	2
117745	6286	Deserves a place of honor next to Nanook	3
67232	3411	waits grimly for the next shock	2
146292	7955	Lurid and less	1
74744	3832	that Greengrass had gone a tad less for grit and a lot more for intelligibility	2
44769	2171	closes	2
28319	1306	all means	2
105164	5555	' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand	2
59987	3027	is a franchise sequel starring Wesley Snipes	2
45609	2216	actorish notations	2
3858	147	feet	2
132540	7146	a disloyal satyr	2
143132	7768	The Four Feathers ''	2
129904	6993	they live together --	2
150753	8217	her process	2
6485	257	only complaint	2
7919	322	logic or cohesion	2
125303	6732	sordid of human behavior on the screen , then	2
48418	2364	's really unclear why this project was undertaken	1
122138	6545	above sixth-grade height	2
117782	6289	that the German film industry can not make a delightful comedy centering on food	1
15051	647	bungle their way	1
85685	4431	all the scenic appeal	2
88220	4582	are the flamboyant mannerisms that are the trademark of several of his performances	2
45677	2220	Witty , vibrant , and intelligent	4
95844	5008	, pack your knitting needles .	2
23432	1063	a man has made about women since Valley of the Dolls	3
38900	1855	Kahlo 's lifetime milestones with the dutiful precision of a tax accountant	2
143447	7786	, what happened ?	2
153036	8356	contorting itself	2
29405	1363	What might have been acceptable on the printed page of Iles ' book does not translate well to the screen .	0
45262	2201	damned compelling	4
101359	5328	halfwit	1
20191	898	inhabit	2
88532	4600	harps	2
50990	2510	chilling tale	1
46975	2289	critics ' darling band Wilco	2
139416	7560	A classy , sprightly spin on film	4
57726	2909	pretty much the same way	2
7759	315	a disappointingly thin slice of lower-class London life	2
54387	2702	, and entirely implausible	1
80780	4162	new way	2
